priority	tier	lane	repo	folder	file	kind	line_count	fan_in	fan_out	total_degree	purpose	read_prompt	dossier_path
1020	T2_VERIFICATION_ORACLE_COMPLETE_READ	verification_oracle	neo4j-gds-src	executor	executor/src/integrationTest/java/org/neo4j/gds/executor/MemoryEstimationExecutorTest.java	test	175	0	28	28	Turn existing tests/docs into executable compatibility checks for the Rust rewrite. Seed file: proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphProjectProc.java	Read this entire test/doc file as a verification oracle. Extract the behavior being asserted, fixture graph shape, procedure call, expected output/error, and the Rust executable spec it should become. Anchor it to seed file `proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphProjectProc.java`.	docs_PRD03/reference-learning/gds-v2-dossiers/V020-verification-oracle-MemoryEstimationExecutorTest.md
1021	T2_VERIFICATION_ORACLE_COMPLETE_READ	verification_oracle	neo4j-gds-src	procedures/graph-catalog-facade	procedures/graph-catalog-facade/src/test/java/org/neo4j/gds/procedures/catalog/DummyGraphStore.java	test	399	2	26	28	Turn existing tests/docs into executable compatibility checks for the Rust rewrite. Seed file: graph-projection-api/src/main/java/org/neo4j/gds/api/nodeproperties/ValueType.java	Read this entire test/doc file as a verification oracle. Extract the behavior being asserted, fixture graph shape, procedure call, expected output/error, and the Rust executable spec it should become. Anchor it to seed file `graph-projection-api/src/main/java/org/neo4j/gds/api/nodeproperties/ValueType.java`.	docs_PRD03/reference-learning/gds-v2-dossiers/V021-verification-oracle-DummyGraphStore.md
1022	T2_VERIFICATION_ORACLE_COMPLETE_READ	verification_oracle	neo4j-gds-src	pipeline	pipeline/src/test/java/org/neo4j/gds/ml/pipeline/PredictPipelineExecutorTest.java	test	306	0	27	27	Turn existing tests/docs into executable compatibility checks for the Rust rewrite. Seed file: config-api/src/main/java/org/neo4j/gds/config/AlgoBaseConfig.java	Read this entire test/doc file as a verification oracle. Extract the behavior being asserted, fixture graph shape, procedure call, expected output/error, and the Rust executable spec it should become. Anchor it to seed file `config-api/src/main/java/org/neo4j/gds/config/AlgoBaseConfig.java`.	docs_PRD03/reference-learning/gds-v2-dossiers/V022-verification-oracle-PredictPipelineExecutorTest.md
1023	T2_VERIFICATION_ORACLE_COMPLETE_READ	verification_oracle	neo4j-gds-src	proc/catalog	proc/catalog/src/test/java/org/neo4j/gds/catalog/GraphProjectProcTest.java	test	1594	0	26	26	Turn existing tests/docs into executable compatibility checks for the Rust rewrite. Seed file: proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphProjectProc.java	Read this entire test/doc file as a verification oracle. Extract the behavior being asserted, fixture graph shape, procedure call, expected output/error, and the Rust executable spec it should become. Anchor it to seed file `proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphProjectProc.java`.	docs_PRD03/reference-learning/gds-v2-dossiers/V023-verification-oracle-GraphProjectProcTest.md
1024	T2_VERIFICATION_ORACLE_COMPLETE_READ	verification_oracle	neo4j-gds-src	proc/test	proc/test/src/main/java/org/neo4j/gds/ProcedureRunner.java	test	198	2	25	27	Turn existing tests/docs into executable compatibility checks for the Rust rewrite. Seed file: procedures/procedures-facade-api/src/main/java/org/neo4j/gds/procedures/GraphDataScienceProcedures.java	Read this entire test/doc file as a verification oracle. Extract the behavior being asserted, fixture graph shape, procedure call, expected output/error, and the Rust executable spec it should become. Anchor it to seed file `procedures/procedures-facade-api/src/main/java/org/neo4j/gds/procedures/GraphDataScienceProcedures.java`.	docs_PRD03/reference-learning/gds-v2-dossiers/V024-verification-oracle-ProcedureRunner.md
1025	T2_VERIFICATION_ORACLE_COMPLETE_READ	verification_oracle	neo4j-gds-src	ml/ml-algo	ml/ml-algo/src/test/java/org/neo4j/gds/ml/splitting/UndirectedEdgeSplitterTest.java	test	469	0	25	25	Turn existing tests/docs into executable compatibility checks for the Rust rewrite. Seed file: graph-projection-api/src/main/java/org/neo4j/gds/core/Aggregation.java	Read this entire test/doc file as a verification oracle. Extract the behavior being asserted, fixture graph shape, procedure call, expected output/error, and the Rust executable spec it should become. Anchor it to seed file `graph-projection-api/src/main/java/org/neo4j/gds/core/Aggregation.java`.	docs_PRD03/reference-learning/gds-v2-dossiers/V025-verification-oracle-UndirectedEdgeSplitterTest.md
1026	T2_VERIFICATION_ORACLE_COMPLETE_READ	verification_oracle	neo4j-gds-src	algo	algo/src/test/java/org/neo4j/gds/louvain/LouvainTest.java	test	399	0	25	25	Turn existing tests/docs into executable compatibility checks for the Rust rewrite. Seed file: graph-projection-api/src/main/java/org/neo4j/gds/core/Aggregation.java	Read this entire test/doc file as a verification oracle. Extract the behavior being asserted, fixture graph shape, procedure call, expected output/error, and the Rust executable spec it should become. Anchor it to seed file `graph-projection-api/src/main/java/org/neo4j/gds/core/Aggregation.java`.	docs_PRD03/reference-learning/gds-v2-dossiers/V026-verification-oracle-LouvainTest.md
1027	T2_VERIFICATION_ORACLE_COMPLETE_READ	verification_oracle	neo4j-gds-src	proc/machine-learning	proc/machine-learning/src/test/java/org/neo4j/gds/ml/linkmodels/pipeline/train/LinkPredictionPipelineTrainProcTest.java	test	394	0	25	25	Turn existing tests/docs into executable compatibility checks for the Rust rewrite. Seed file: memory-usage/src/main/java/org/neo4j/gds/mem/MemoryRange.java	Read this entire test/doc file as a verification oracle. Extract the behavior being asserted, fixture graph shape, procedure call, expected output/error, and the Rust executable spec it should become. Anchor it to seed file `memory-usage/src/main/java/org/neo4j/gds/mem/MemoryRange.java`.	docs_PRD03/reference-learning/gds-v2-dossiers/V027-verification-oracle-LinkPredictionPipelineTrainProcTest.md
1028	T2_VERIFICATION_ORACLE_COMPLETE_READ	verification_oracle	neo4j-gds-src	pipeline	pipeline/src/test/java/org/neo4j/gds/ml/pipeline/NodePropertyStepExecutorTest.java	test	284	0	25	25	Turn existing tests/docs into executable compatibility checks for the Rust rewrite. Seed file: memory-usage/src/main/java/org/neo4j/gds/mem/MemoryEstimation.java	Read this entire test/doc file as a verification oracle. Extract the behavior being asserted, fixture graph shape, procedure call, expected output/error, and the Rust executable spec it should become. Anchor it to seed file `memory-usage/src/main/java/org/neo4j/gds/mem/MemoryEstimation.java`.	docs_PRD03/reference-learning/gds-v2-dossiers/V028-verification-oracle-NodePropertyStepExecutorTest.md
1029	T2_VERIFICATION_ORACLE_COMPLETE_READ	verification_oracle	neo4j-gds-src	cypher-aggregation	cypher-aggregation/src/integrationTest/java/org/neo4j/gds/projection/CypherAggregationTest.java	test	1306	0	23	23	Turn existing tests/docs into executable compatibility checks for the Rust rewrite. Seed file: graph-projection-api/src/main/java/org/neo4j/gds/api/DefaultValue.java	Read this entire test/doc file as a verification oracle. Extract the behavior being asserted, fixture graph shape, procedure call, expected output/error, and the Rust executable spec it should become. Anchor it to seed file `graph-projection-api/src/main/java/org/neo4j/gds/api/DefaultValue.java`.	docs_PRD03/reference-learning/gds-v2-dossiers/V029-verification-oracle-CypherAggregationTest.md
1030	T2_VERIFICATION_ORACLE_COMPLETE_READ	verification_oracle	neo4j-gds-src	proc/machine-learning	proc/machine-learning/src/test/java/org/neo4j/gds/ml/linkmodels/pipeline/LinkPredictionPipelineIntegrationTest.java	test	414	0	23	23	Turn existing tests/docs into executable compatibility checks for the Rust rewrite. Seed file: graph-projection-api/src/main/java/org/neo4j/gds/api/DefaultValue.java	Read this entire test/doc file as a verification oracle. Extract the behavior being asserted, fixture graph shape, procedure call, expected output/error, and the Rust executable spec it should become. Anchor it to seed file `graph-projection-api/src/main/java/org/neo4j/gds/api/DefaultValue.java`.	docs_PRD03/reference-learning/gds-v2-dossiers/V030-verification-oracle-LinkPredictionPipelineIntegrationTest.md
